event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,TWD,Xiulin,311007.9127645317,2664013.279816505,41.18,183.59,0.89,1.31,1.31,41028.2870249173,1.31,2.055310195566596
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ECB,Changbin,296021.39634556696,2579789.9260896416,45.54,16.72,1.49,4.78,4.78,45184.50906021273,4.78,6.9222034064306435
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EYUL,Yuli,282718.8616803043,2583076.725025431,48.2,33.48,1.38,1.03,1.38,47898.40126441826,1.38,2.2067396765364053
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,OWD,Aowanda,268320.57698391436,2649497.46793791,49.22,123.35,3.47,5.39,5.39,48652.60227872083,5.39,8.375267159917945
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ETL,Taroko,313002.3806301754,2672882.3723930633,49.82,185.1,1.24,7.13,7.13,50004.15422035053,7.13,10.159301157067842
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ETLH,Xibao,298756.7747790603,2678364.0973408236,55.9,169.75,2.93,5.32,5.32,56302.80396695802,5.32,8.07401387167498
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WHF,Hehuanshan,277440.5005203154,2670554.3087334028,57.27,146.91,0.87,1.85,1.85,57129.74738729556,1.85,2.757154330101962
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,FULB,Fuli,279684.6711030999,2566459.5864335443,63.73,27.25,0.64,1.43,1.43,63778.309485717444,1.43,2.1211789174890456
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,YUS,Yushan,245914.45871904131,2598544.5180942486,67.95,68.7,1.09,3.02,3.02,67802.45262918202,3.02,4.40782259171124
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,FUSS,Lishan,274370.6287985171,2682731.3270915076,68.63,150.15,0.57,3.04,3.04,69091.4188047117,3.04,4.336830639995064
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,CHK,Chenggong,287901.73044002795,2555404.50262577,71.03,17.29,1.53,3.78,3.78,70880.33648984079,3.78,5.560368692811656
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EHD,Haiduan,271503.752324934,2560908.715241512,72.94,31.54,0.75,1.34,1.34,72631.91374118994,1.34,2.0380628057054575
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,TWT,Deji,266247.06825259404,2682719.680460123,73.3,144.58,0.59,1.52,1.52,73506.22649392046,1.52,2.2291029585911906
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WHY,XinyiTownship,234703.57880082546,2621807.677913678,74.08,88.79,0.4,0.82,0.82,74448.7112143408,0.82,1.2267028980156522
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ECS,Chishang,272536.09347227943,2555373.46320089,77.41,28.4,0.55,0.95,0.95,76922.516174024,0.95,1.4517231140957976
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ELD,Lidao,253071.04740275693,2565322.951757025,81.02,44.36,0.82,0.92,0.92,80459.87799839543,0.92,1.5379206741571556
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ENA,Nan-ao,326051.95325948566,2702851.609190231,81.17,192.26,0.96,1.92,1.92,81595.56307174067,1.92,2.88
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,NNS,Nanshan,288529.4091359714,2703806.1356598055,83.03,165.96,0.55,1.74,1.74,83367.20162041674,1.74,2.5214479966876175
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EWT,Wuta,329081.6756176162,2705083.6161126345,83.86,193.95,1.24,2.27,2.27,84444.04270556686,2.27,3.44142412381851
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EDH,Donghe,280760.57562667166,2540992.5703867623,86.42,19.03,1.16,2.45,2.45,86805.76279600388,2.45,3.653847287449217
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WHP,Wushikeng,244923.98669740726,2686033.803515175,90.04,134.27,0.68,0.97,0.97,89965.51787040812,0.97,1.5310780515702
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WNT,Mingjian,218430.82286751538,2641768.144815505,92.25,101.53,0.43,0.92,0.92,92627.13395208916,0.92,1.370291939697523
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,CHN5,Caoling,217342.73296000058,2610761.928560473,92.85,82.26,0.33,0.81,0.81,92615.3472717409,0.81,1.1920989891783318
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ENT,Niudou,307702.9339792635,2726023.941715974,102.74,179.67,0.29,1.06,1.06,103006.56782840146,1.06,1.5268595220255203
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WTK,Tuku,187789.0627401733,2620825.2634779047,121.47,88.83,1.17,0.72,1.17,121373.21395993319,1.17,1.804494389018708
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WTC,Dacheng,177684.2790531797,2639699.915136005,132.56,97.27,0.99,2.51,2.51,132511.06474578453,2.51,3.685145858714414
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WSF,Sihu,171440.96721588855,2615366.7675887183,137.9,86.6,0.38,0.83,0.83,137914.25616898923,0.83,1.233774695801466
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,WSL,Shuilin,171369.5170616769,2602077.01157657,139.48,81.43,0.26,0.96,0.96,139356.58946965024,0.96,1.3823168956501979
28,2019-04-06 05:24:55,217155.01309013402,2525494.3150912323,15.5,4.4,SSD,Sandimen,213025.10347437492,2515537.9348054873,10.82,24.15,16.28,62.05,62.05,10778.945302241382,62.05,89.24933277061515
